category;vector_1;vector_2;vector_3;orthography;allophone;add_1;add_2
vowel;back;open;0;a;a;0;0
vowel;back;open;0;â;a:;0;long
vowel;front;open;0;e;e;0;0
vowel;back;0;0;ı;ɯ;0;0
vowel;front;0;0;i;i;0;0
vowel;front;0;0;î;i:;0;long
vowel;back;0;round;u;u;0;0
vowel;back;0;round;û;u:;0;long
vowel;front;0;round;ü;y;0;0
vowel;back;open;round;o;o;0;0
vowel;front;open;round;ö;ø;0;0
consonant;labial;stop;voiced;b;b;0;0
consonant;coronal;affricate;voiced;c;d͡ʒ;0;0
consonant;coronal;affricate;0;ç;t͡ʃ;0;0
consonant;coronal;stop;voiced;d;d;0;0
consonant;labiodental;fricative;0;f;f;0;0
consonant;velar;stop;voiced;g;g;0;0
consonant;velar;fricative;voiced;ğ;ɣ;0;0
consonant;velar;fricative;0;h;h;0;0
consonant;coronal;fricative;voiced;j;ʒ;0;0
consonant;velar;stop;0;k;k;0;0
consonant;coronal;lateral;sonorant;l;l;0;0
consonant;labial;nasal;sonorant;m;m;0;0
consonant;coronal;nasal;sonorant;n;n;0;0
consonant;labial;stop;0;p;p;0;0
consonant;coronal;rhotic;sonorant;r;r;0;0
consonant;coronal;strident;0;s;s;0;0
consonant;coronal;fricative;0;ş;ʃ;0;0
consonant;coronal;stop;0;t;t;0;0
consonant;labial;fricative;voiced;v;v;0;0
consonant;coronal;liquid;sonorant;y;j;0;0
consonant;coronal;strident;voiced;z;z;0;0
start;0;0;0;0;0;0;0
end;0;0;0;0;0;0;0
